"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8273","should be able to create a task correctly","chromium","Tue Mar 17 19:17:00 UTC 2026","passed","Tue Mar 17 19:17:08 UTC 2026","Task Management","ui/today.spec.ts","",""
"","5321","should be able to login correctly","chromium","Tue Mar 17 19:16:39 UTC 2026","passed","Tue Mar 17 19:16:44 UTC 2026","Login tests","ui/login.spec.ts","",""
"","0","TC03 - Create task successfully from sidebar","chromium","Tue Mar 17 19:16:46 UTC 2026","skipped","Tue Mar 17 19:16:46 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
"","6946","should be able to delete a comment from a task","chromium","Tue Mar 17 19:16:53 UTC 2026","passed","Tue Mar 17 19:17:00 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","6362","TC04 - Delete task successfully","chromium","Tue Mar 17 19:17:08 UTC 2026","passed","Tue Mar 17 19:17:15 UTC 2026","Task Management","ui/today.spec.ts","",""
"","7025","should be able to add a comment to a task","chromium","Tue Mar 17 19:16:46 UTC 2026","passed","Tue Mar 17 19:16:53 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","6663","Should dismiss add task modal","chromium","Tue Mar 17 19:17:22 UTC 2026","passed","Tue Mar 17 19:17:29 UTC 2026","Page Functionality","ui/today.spec.ts","",""
"","1676","should display the correct error message for invalid credentials","chromium","Tue Mar 17 19:16:44 UTC 2026","passed","Tue Mar 17 19:16:46 UTC 2026","Login tests","ui/login.spec.ts","",""
"","7413","TC05 - Edit task successfully","chromium","Tue Mar 17 19:17:15 UTC 2026","passed","Tue Mar 17 19:17:22 UTC 2026","Task Management","ui/today.spec.ts","",""
"","1133","should be able to create a task via API correctly for today","chromium","Tue Mar 17 19:16:36 UTC 2026","passed","Tue Mar 17 19:16:37 UTC 2026","API - Create Task","api/create.spec.ts","",""
